Formula,Metal,Insulator,MIT,Correct,Label,Stoichiometry,Crystal_structure,Average_MO_distance,Valence_electron,d_electron,Mass_density,Mean_electronegativity,Polarizability,Std_of_ionic_radius,Crystal_field_splitting,Electronic_corr,Respondent,Accuracy
LaRuO3,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,74
LaFeO3,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,74
LaNiO3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,74
CaFeO3,1,0,1,1,2,1,0,0,0,1,0,0,0,1,0,1,1,74
ReO3,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,74
MoO2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,74
MoO3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,74
Ag2BiO3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,74
TiO,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,74
MnO,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,74
Ca2RuO4,1,0,1,1,2,1,0,1,0,1,0,0,0,0,1,1,1,74
NbO2,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,74
Sr2TiO4,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,74
Ti2O3,0,1,0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,74
Cr2O3,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,74
KVO3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,74
BaVS3,1,0,1,1,2,0,0,1,0,1,0,0,0,0,1,1,1,74
SrCrO3,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,74
LaRuO3,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,2,48
LaFeO3,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,48
LaNiO3,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,2,48
CaFeO3,0,1,0,0,2,0,1,1,1,1,0,0,1,0,1,1,2,48
ReO3,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,2,48
MoO2,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2,48
MoO3,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,2,48
Ag2BiO3,1,0,0,0,2,1,1,1,1,1,0,1,1,0,1,1,2,48
TiO,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,2,48
MnO,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,2,48
Ca2RuO4,1,0,1,1,2,1,1,1,1,1,0,1,1,0,1,0,2,48
NbO2,0,1,0,0,2,1,1,1,1,1,0,0,0,1,1,0,2,48
Sr2TiO4,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,2,48
Ti2O3,0,1,0,0,2,1,1,1,1,1,0,0,0,0,1,0,2,48
Cr2O3,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,2,48
KVO3,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,2,48
BaVS3,0,1,0,0,2,1,1,1,1,1,0,1,0,0,1,0,2,48
SrCrO3,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,2,48
LaRuO3,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,3,52
