respondent_id,formula,true_label,predicted_label,stoichiometry,crystal_structure,average_metal_oxygen_bond_distance,total_number_of_valence_electrons,d_electron_count,mass_density,mean_electronegativity_of_elements_in_formula,polarizability_of_the_compound,standard_deviation_of_average_ionic_radius_of_elements,crystal_field_splitting_energy,electronic_correlation,other_please_specify
10105286993,LaRuO3,metal,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,LaFeO3,insulator,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,LaNiO3,metal,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,CaFeO3,mit,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,ReO3,metal,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,MoO2,metal,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,MoO3,insulator,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,NA,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,Ag2BiO3,mit,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,TiO,metal,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,MnO,insulator,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,Ca2RuO4,mit,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,NA,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,NbO2,mit,mit,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,Sr2TiO4,insulator,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,Ti2O3,mit,mit,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,Cr2O3,insulator,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,KVO3,insulator,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,BaVS3,mit,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105286993,SrCrO3,metal,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105461244,LaRuO3,metal,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,NA,d electron count,NA,Mean electronegativity of elements in formula,NA,NA,NA,NA,NA
10105461244,LaFeO3,insulator,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,NA,d electron count,Mass density,NA,NA,NA,NA,NA,NA
10105461244,LaNiO3,metal,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,Electronic correlation,NA
10105461244,CaFeO3,mit,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,NA,d electron count,NA,Mean electronegativity of elements in formula,NA,NA,NA,NA,NA
10105461244,ReO3,metal,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,NA,NA
10105461244,MoO2,metal,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,NA,NA
10105461244,MoO3,insulator,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,NA,NA
10105461244,Ag2BiO3,mit,mit,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,Total number of valence electrons,d electron count,Mass density,Mean electronegativity of elements in formula,NA,NA,NA,NA,NA
10105461244,TiO,metal,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,NA,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105461244,MnO,insulator,insulator,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,Electronic correlation,NA
10105461244,Ca2RuO4,mit,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,NA,NA
10105461244,NbO2,mit,mit,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,Electronic correlation,NA
10105461244,Sr2TiO4,insulator,insulator,NA,NA,NA,NA,d electron count,NA,NA,NA,NA,NA,NA,NA
10105461244,Ti2O3,mit,mit,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105461244,Cr2O3,insulator,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",Average metal-oxygen bond distance,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,Electronic correlation,NA
10105461244,KVO3,insulator,insulator,NA,NA,NA,NA,d electron count,NA,NA,NA,NA,NA,NA,NA
10105461244,BaVS3,mit,mit,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,Electronic correlation,NA
10105461244,SrCrO3,metal,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,NA,NA
10105551544,LaRuO3,metal,metal,NA,NA,NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,NA,NA,NA
10105551544,LaFeO3,insulator,metal,NA,"Crystal structure (e.g. perovskite, rock salt, rutile)",NA,Total number of valence electrons,NA,NA,NA,NA,NA,NA,NA,NA
10105551544,LaNiO3,metal,insulator,NA,NA,NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,NA,NA
10105551544,CaFeO3,mit,metal,NA,NA,NA,Total number of valence electrons,d electron count,NA,NA,NA,NA,Crystal field splitting energy,NA,NA
10105551544,ReO3,metal,insulator,NA,NA,NA,NA,d electron count,NA,Mean electronegativity of elements in formula,NA,NA,Crystal field splitting energy,Electronic correlation,NA
10105551544,MoO2,metal,insulator,NA,NA,NA,NA,d electron count,NA,NA,NA,NA,NA,NA,NA
10105551544,MoO3,insulator,insulator,NA,NA,NA,Total number of valence electrons,NA,NA,NA,NA,NA,NA,NA,NA
10105551544,Ag2BiO3,mit,mit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no idea
10105551544,TiO,metal,insulator,NA,NA,NA,NA,d electron count,NA,NA,NA,NA,NA,NA,NA
10105551544,MnO,insulator,metal,NA,NA,NA,NA,d electron count,NA,NA,NA,NA,NA,NA,NA
10105551544,Ca2RuO4,mit,metal,NA,NA,NA,NA,d electron count,NA,NA,NA,NA,NA,NA,NA
